Direction,Station,Stop Number,Arrival or Departure,Average Delay,Num Records
Southbound,BOS,0.0,Departure,2,30224
Southbound,BBY,1.0,Departure,3,25724
Southbound,RTE,2.0,Departure,3,29022
Southbound,PVD,3.0,Departure,5,28417
Southbound,KIN,4.0,Departure,5,29194
Southbound,WLY,5.0,Departure,6,13714
Southbound,MYS,6.0,Departure,6,10214
Southbound,NLC,7.0,Departure,7,28376
Southbound,OSB,8.0,Departure,8,21653
Southbound,NHV,9.0,Arrival,4,28623
Southbound,NHV,9.0,Departure,7,30087
Southbound,BRP,10.0,Departure,8,18240
Southbound,STM,11.0,Departure,12,26540
Southbound,NRO,12.0,Departure,13,16461
Southbound,NYP,13.0,Arrival,8,30155
Southbound,NYP,13.0,Departure,8,29798
Southbound,NWK,14.0,Departure,9,29665
Southbound,EWR,15.0,Departure,11,10957
Southbound,MET,16.0,Departure,10,27818
Southbound,TRE,17.0,Departure,12,26342
Southbound,PHL,18.0,Arrival,11,16964
Southbound,PHL,18.0,Departure,12,29220
Southbound,WIL,19.0,Departure,15,29637
Southbound,ABE,20.0,Departure,17,4233
Southbound,BAL,21.0,Departure,15,28985
Southbound,BWI,22.0,Departure,17,28726
Southbound,NCR,23.0,Departure,19,27907
Southbound,WAS,24.0,Arrival,11,30024
